0xFA40, 0xFCF1,	//	sjis-euc
0xFAC6, 0xFAAC,	//	sjis-euc
0xFAC7, 0xFAAD,	//	sjis-euc
0xFAC8, 0xFAAE,	//	sjis-euc
0xFAC9, 0xFAAF,	//	sjis-euc
0xFACA, 0xFAB0,	//	sjis-euc
0xFACB, 0xFAB1,	//	sjis-euc
0xFACC, 0xFAB2,	//	sjis-euc
0xFACD, 0xFAB3,	//	sjis-euc
0xFACE, 0xFAB4,	//	sjis-euc
0xFACF, 0xFAB5,	//	sjis-euc
0xFAD0, 0xFAB6,	//	sjis-euc
0xFAD1, 0xFAB7,	//	sjis-euc
0xFAD2, 0xFAB8,	//	sjis-euc
0xFAD3, 0xFAB9,	//	sjis-euc
0xFAD4, 0xFABA,	//	sjis-euc
0xFAD5, 0xFABB,	//	sjis-euc
0xFAD6, 0xFABC,	//	sjis-euc
0xFAD7, 0xFABD,	//	sjis-euc
0xFAD8, 0xFABE,	//	sjis-euc
0xFAD9, 0xFABF,	//	sjis-euc
0xFADA, 0xFAC0,	//	sjis-euc
0xFADB, 0xFAC1,	//	sjis-euc
0xFADC, 0xFAC2,	//	sjis-euc
0xFADD, 0xFAC3,	//	sjis-euc
0xFADE, 0xFAC4,	//	sjis-euc
0xFADF, 0xFAC5,	//	sjis-euc
0xFAE0, 0xFAC6,	//	sjis-euc
0xFAE1, 0xFAC7,	//	sjis-euc
0xFAE2, 0xFAC8,	//	sjis-euc
0xFAE3, 0xFAC9,	//	sjis-euc
0xFAE4, 0xFACA,	//	sjis-euc
0xFAE5, 0xFACB,	//	sjis-euc
0xFAE6, 0xFACC,	//	sjis-euc
0xFAE7, 0xFACD,	//	sjis-euc
0xFAE8, 0xFACE,	//	sjis-euc
0xFAE9, 0xFACF,	//	sjis-euc
0xFAEA, 0xFAD0,	//	sjis-euc
0xFAEB, 0xFAD1,	//	sjis-euc
0xFAEC, 0xFAD2,	//	sjis-euc
0xFAED, 0xFAD3,	//	sjis-euc
0xFAEE, 0xFAD4,	//	sjis-euc
0xFAEF, 0xFAD5,	//	sjis-euc
0xFAF0, 0xFAD6,	//	sjis-euc
0xFAF1, 0xFAD7,	//	sjis-euc
0xFAF2, 0xFAD8,	//	sjis-euc
0xFAF3, 0xFAD9,	//	sjis-euc
0xFAF4, 0xFADA,	//	sjis-euc
0xFAF5, 0xFADB,	//	sjis-euc
0xFAF6, 0xFADC,	//	sjis-euc
0xFAF7, 0xFADD,	//	sjis-euc
0xFAF8, 0xFADE,	//	sjis-euc
0xFAF9, 0xFADF,	//	sjis-euc
0xFAFA, 0xFAE0,	//	sjis-euc
0xFAFB, 0xFAE1,	//	sjis-euc
0xFAFC, 0xFAE2,	//	sjis-euc
0xFB40, 0xFAE3,	//	sjis-euc
0xFB41, 0xFAE4,	//	sjis-euc
0xFB42, 0xFAE5,	//	sjis-euc
0xFB43, 0xFAE6,	//	sjis-euc
0xFB44, 0xFAE7,	//	sjis-euc
0xFB45, 0xFAE8,	//	sjis-euc
0xFB46, 0xFAE9,	//	sjis-euc
0xFB47, 0xFAEA,	//	sjis-euc
0xFB48, 0xFAEB,	//	sjis-euc
0xFB49, 0xFAEC,	//	sjis-euc
0xFB4A, 0xFAED,	//	sjis-euc
0xFB4B, 0xFAEE,	//	sjis-euc
0xFB4C, 0xFAEF,	//	sjis-euc
0xFB4D, 0xFAF0,	//	sjis-euc
0xFB4E, 0xFAF1,	//	sjis-euc
0xFB4F, 0xFAF2,	//	sjis-euc
0xFB50, 0xFAF3,	//	sjis-euc
0xFB51, 0xFAF4,	//	sjis-euc
0xFB52, 0xFAF5,	//	sjis-euc
0xFB53, 0xFAF6,	//	sjis-euc
0xFB54, 0xFAF7,	//	sjis-euc
0xFB55, 0xFAF8,	//	sjis-euc
0xFB56, 0xFAF9,	//	sjis-euc
0xFB57, 0xFAFA,	//	sjis-euc
0xFB58, 0xFAFB,	//	sjis-euc
0xFB59, 0xFAFC,	//	sjis-euc
0xFB5A, 0xFAFD,	//	sjis-euc
0xFB5B, 0xFAFE,	//	sjis-euc
0xFB5C, 0xFBA1,	//	sjis-euc
0xFB5D, 0xFBA2,	//	sjis-euc
0xFB5E, 0xFBA3,	//	sjis-euc
0xFB5F, 0xFBA4,	//	sjis-euc
0xFB60, 0xFBA5,	//	sjis-euc
0xFB61, 0xFBA6,	//	sjis-euc
0xFB62, 0xFBA7,	//	sjis-euc
0xFB63, 0xFBA8,	//	sjis-euc
0xFB64, 0xFBA9,	//	sjis-euc
0xFB65, 0xFBAA,	//	sjis-euc
0xFB66, 0xFBAB,	//	sjis-euc
0xFB67, 0xFBAC,	//	sjis-euc
0xFB68, 0xFBAD,	//	sjis-euc
0xFB69, 0xFBAE,	//	sjis-euc
0xFB6A, 0xFBAF,	//	sjis-euc
0xFB6B, 0xFBB0,	//	sjis-euc
0xFB6C, 0xFBB1,	//	sjis-euc
0xFB6D, 0xFBB2,	//	sjis-euc
0xFB6E, 0xFBB3,	//	sjis-euc
0xFB6F, 0xFBB4,	//	sjis-euc
0xFB70, 0xFBB5,	//	sjis-euc
0xFB71, 0xFBB6,	//	sjis-euc
0xFB72, 0xFBB7,	//	sjis-euc
0xFB73, 0xFBB8,	//	sjis-euc
0xFB74, 0xFBB9,	//	sjis-euc
0xFB75, 0xFBBA,	//	sjis-euc
0xFB76, 0xFBBB,	//	sjis-euc
0xFB77, 0xFBBC,	//	sjis-euc
0xFB78, 0xFBBD,	//	sjis-euc
0xFB79, 0xFBBE,	//	sjis-euc
0xFB7A, 0xFBBF,	//	sjis-euc
0xFB7B, 0xFBC0,	//	sjis-euc
0xFB7C, 0xFBC1,	//	sjis-euc
0xFB7D, 0xFBC2,	//	sjis-euc
0xFB7E, 0xFBC3,	//	sjis-euc
0xFB80, 0xFBC4,	//	sjis-euc
0xFB81, 0xFBC5,	//	sjis-euc
0xFB82, 0xFBC6,	//	sjis-euc
0xFB83, 0xFBC7,	//	sjis-euc
0xFB84, 0xFBC8,	//	sjis-euc
0xFB85, 0xFBC9,	//	sjis-euc
0xFB86, 0xFBCA,	//	sjis-euc
0xFB87, 0xFBCB,	//	sjis-euc
0xFB88, 0xFBCC,	//	sjis-euc
0xFB89, 0xFBCD,	//	sjis-euc
0xFB8A, 0xFBCE,	//	sjis-euc
0xFB8B, 0xFBCF,	//	sjis-euc
0xFB8C, 0xFBD0,	//	sjis-euc
0xFB8D, 0xFBD1,	//	sjis-euc
0xFB8E, 0xFBD2,	//	sjis-euc
0xFB8F, 0xFBD3,	//	sjis-euc
0xFB90, 0xFBD4,	//	sjis-euc
0xFB91, 0xFBD5,	//	sjis-euc
0xFB92, 0xFBD6,	//	sjis-euc
0xFB93, 0xFBD7,	//	sjis-euc
0xFB94, 0xFBD8,	//	sjis-euc
0xFB95, 0xFBD9,	//	sjis-euc
0xFB96, 0xFBDA,	//	sjis-euc
0xFB97, 0xFBDB,	//	sjis-euc
0xFB98, 0xFBDC,	//	sjis-euc
0xFB99, 0xFBDD,	//	sjis-euc
0xFB9A, 0xFBDE,	//	sjis-euc
0xFB9B, 0xFBDF,	//	sjis-euc
0xFB9C, 0xFBE0,	//	sjis-euc
0xFB9D, 0xFBE1,	//	sjis-euc
0xFB9E, 0xFBE2,	//	sjis-euc
0xFB9F, 0xFBE3,	//	sjis-euc
0xFBA0, 0xFBE4,	//	sjis-euc
0xFBA1, 0xFBE5,	//	sjis-euc
0xFBA2, 0xFBE6,	//	sjis-euc
0xFBA3, 0xFBE7,	//	sjis-euc
0xFBA4, 0xFBE8,	//	sjis-euc
0xFBA5, 0xFBE9,	//	sjis-euc
0xFBA6, 0xFBEA,	//	sjis-euc
0xFBA7, 0xFBEB,	//	sjis-euc
0xFBA8, 0xFBEC,	//	sjis-euc
0xFBA9, 0xFBED,	//	sjis-euc
0xFBAA, 0xFBEE,	//	sjis-euc
0xFBAB, 0xFBEF,	//	sjis-euc
0xFBAC, 0xFBF0,	//	sjis-euc
0xFBAD, 0xFBF1,	//	sjis-euc
0xFBAE, 0xFBF2,	//	sjis-euc
0xFBAF, 0xFBF3,	//	sjis-euc
0xFBB0, 0xFBF4,	//	sjis-euc
0xFBB1, 0xFBF5,	//	sjis-euc
0xFBB2, 0xFBF6,	//	sjis-euc
0xFBB3, 0xFBF7,	//	sjis-euc
0xFBB4, 0xFBF8,	//	sjis-euc
0xFBB5, 0xFBF9,	//	sjis-euc
0xFBB6, 0xFBFA,	//	sjis-euc
0xFBB7, 0xFBFB,	//	sjis-euc
0xFBB8, 0xFBFC,	//	sjis-euc
0xFBB9, 0xFBFD,	//	sjis-euc
0xFBBA, 0xFBFE,	//	sjis-euc
0xFBBB, 0xFCA1,	//	sjis-euc
0xFBBC, 0xFCA2,	//	sjis-euc
0xFBBD, 0xFCA3,	//	sjis-euc
0xFBBE, 0xFCA4,	//	sjis-euc
0xFBBF, 0xFCA5,	//	sjis-euc
0xFBC0, 0xFCA6,	//	sjis-euc
0xFBC1, 0xFCA7,	//	sjis-euc
0xFBC2, 0xFCA8,	//	sjis-euc
0xFBC3, 0xFCA9,	//	sjis-euc
0xFBC4, 0xFCAA,	//	sjis-euc
0xFBC5, 0xFCAB,	//	sjis-euc
0xFBC6, 0xFCAC,	//	sjis-euc
0xFBC7, 0xFCAD,	//	sjis-euc
0xFBC8, 0xFCAE,	//	sjis-euc
0xFBC9, 0xFCAF,	//	sjis-euc
0xFBCA, 0xFCB0,	//	sjis-euc
0xFBCB, 0xFCB1,	//	sjis-euc
0xFBCC, 0xFCB2,	//	sjis-euc
0xFBCD, 0xFCB3,	//	sjis-euc
0xFBCE, 0xFCB4,	//	sjis-euc
0xFBCF, 0xFCB5,	//	sjis-euc
0xFBD0, 0xFCB6,	//	sjis-euc
0xFBD1, 0xFCB7,	//	sjis-euc
0xFBD2, 0xFCB8,	//	sjis-euc
0xFBD3, 0xFCB9,	//	sjis-euc
0xFBD4, 0xFCBA,	//	sjis-euc
0xFBD5, 0xFCBB,	//	sjis-euc
0xFBD6, 0xFCBC,	//	sjis-euc
0xFBD7, 0xFCBD,	//	sjis-euc
0xFBD8, 0xFCBE,	//	sjis-euc
0xFBD9, 0xFCBF,	//	sjis-euc
0xFBDA, 0xFCC0,	//	sjis-euc
0xFBDB, 0xFCC1,	//	sjis-euc
0xFBDC, 0xFCC2,	//	sjis-euc
0xFBDD, 0xFCC3,	//	sjis-euc
0xFBDE, 0xFCC4,	//	sjis-euc
0xFBDF, 0xFCC5,	//	sjis-euc
0xFBE0, 0xFCC6,	//	sjis-euc
0xFBE1, 0xFCC7,	//	sjis-euc
0xFBE2, 0xFCC8,	//	sjis-euc
0xFBE3, 0xFCC9,	//	sjis-euc
0xFBE4, 0xFCCA,	//	sjis-euc
0xFBE5, 0xFCCB,	//	sjis-euc
0xFBE6, 0xFCCC,	//	sjis-euc
0xFBE7, 0xFCCD,	//	sjis-euc
0xFBE8, 0xFCCE,	//	sjis-euc
0xFBE9, 0xFCCF,	//	sjis-euc
0xFBEA, 0xFCD0,	//	sjis-euc
0xFBEB, 0xFCD1,	//	sjis-euc
0xFBEC, 0xFCD2,	//	sjis-euc
0xFBED, 0xFCD3,	//	sjis-euc
0xFBEE, 0xFCD4,	//	sjis-euc
0xFBEF, 0xFCD5,	//	sjis-euc
0xFBF0, 0xFCD6,	//	sjis-euc
0xFBF1, 0xFCD7,	//	sjis-euc
0xFBF2, 0xFCD8,	//	sjis-euc
0xFBF3, 0xFCD9,	//	sjis-euc
0xFBF4, 0xFCDA,	//	sjis-euc
0xFBF5, 0xFCDB,	//	sjis-euc
0xFBF6, 0xFCDC,	//	sjis-euc
0xFBF7, 0xFCDD,	//	sjis-euc
0xFBF8, 0xFCDE,	//	sjis-euc
0xFBF9, 0xFCDF,	//	sjis-euc
0xFBFA, 0xFCE0,	//	sjis-euc
0xFBFB, 0xFCE1,	//	sjis-euc
0xFBFC, 0xFCE2,	//	sjis-euc
0xFC40, 0xFCE3,	//	sjis-euc
0xFC41, 0xFCE4,	//	sjis-euc
0xFC42, 0xFCE5,	//	sjis-euc
0xFC43, 0xFCE6,	//	sjis-euc
0xFC44, 0xFCE7,	//	sjis-euc
0xFC45, 0xFCE8,	//	sjis-euc
0xFC46, 0xFCE9,	//	sjis-euc
0xFC47, 0xFCEA,	//	sjis-euc
0xFC48, 0xFCEB,	//	sjis-euc
0xFC49, 0xFCEC,	//	sjis-euc
0xFC4A, 0xFCED,	//	sjis-euc
0xFC4B, 0xFCEE,	//	sjis-euc
